"country","naics","industry_name","year","GDP in Current Prices (Millions)","Cost of Capital (Millions)","Cost of ICT Capital (Millions)","Cost of non-ICT Capital (Millions)","Cost of Labour (Millions)","Hours Worked (Millions)","Quantity Index of GDP","Quantity Index of Capital Services","Quantity Index of ICT Capital Services","Quantity Index of Non-ICT Capital","Quantity Index of Labour","Quantity Index of Hours Worked","Total Cost of Capital and Labour (Millions)","Index of Multifactor Productivity","Index of Labour Productivity","Index of Capital Productivity","Index of Capital Intensity","Index of ICT Capital Intensity","Index of non-ICT Capital Intensity","Index of Labour Composition","Contribution of Capital Intensity","Contribution of ICT Capital Intensity","Contribution of non-ICT Capital Intensity","Contribution of Labour Composition"
"United States","21","Mining, oil and gas extraction",1984,100876.796006873,52832.5160445074,498.460786026967,52335.1187754572,48515.0528118867,499.688689797866,38.1987284807327,101.357897221128,6.9851414453804,103.65850667471,155.724929641252,185.355741159268,101347.568856394,24.5351653473113,17.6249834415879,32.2312514199866,54.6829014236123,0.0376850557835075,0.559240873934631,0.840140848442589,75.9824664127691,100.444188292869,77.312755971953,94.5423388056242
"United States","21","Mining, oil and gas extraction",1985,100143.279437035,50027.5146262011,505.218199353786,49524.5956859489,50872.0348943793,478.715829053129,42.2323078721187,104.260257664811,7.74770255604631,106.547919283804,152.399806315954,177.409211073861,100899.54952058,27.0243972397118,20.3589091096408,34.6427112723784,58.7682325138146,0.0436713658166299,0.600577155148074,0.859029840634966,78.8182349386206,100.517705295232,80.1397449848447,95.5810467577173
"United States","21","Mining, oil and gas extraction",1986,66166.379728882,34136.7284197548,313.202697905158,33823.8679497961,32400.1124515757,384.776317803054,49.3035439259831,105.088966078042,7.88806816326082,107.38518926718,117.285770616505,138.641012671035,66536.8408713304,35.778351551683,30.4139108494874,40.1242447882504,75.7993353145765,0.0568956329104252,0.774555719107312,0.845967353793052,89.6144379912869,100.646938320524,91.0006536996956,94.8579983304031
"United States","21","Mining, oil and gas extraction",1987,68692,38710.8875507356,345.192940095928,38365.6946106396,29975.3043576495,359.77887855332,50.2749117358426,103.85433196122,7.51721547233527,106.156950764394,107.179119235361,129.326880123965,68686.1919083851,38.2758054107591,33.2466865690512,41.4011641810017,80.3037480388233,0.0581257002807903,0.82084212240053,0.828745881232317,92.4429721750686,100.657415169864,93.862330263847,93.9615410352289
"United States","21","Mining, oil and gas extraction",1988,69735,39329.0096356791,309.158532211742,39019.8511034674,30394.9661821845,358.312303793832,56.9741096289627,102.083700902041,7.23428642670331,104.364233132582,108.00320317005,128.798623467148,69723.9758178636,43.6526344123726,37.8313795539479,47.7317100316285,79.2583788196142,0.0561674203649275,0.810289973007373,0.838543147921127,91.7625255959363,100.641100265131,93.1857831613035,94.4444326458873
"United States","21","Mining, oil and gas extraction",1989,74065,43469.9115256771,321.140181942764,43148.7713437343,30591.3559740793,359.816406789947,54.2267759351832,100.83797844575,7.21841851368314,103.083026829513,110.620064720251,129.337932024411,74061.2674997564,41.4192162321822,35.8569812824159,45.9912810548925,77.9647369239815,0.0558105298321978,0.797005373567115,0.855279367690625,90.8975617862571,100.638287187976,92.3101502251387,95.2400498320246
"United States","21","Mining, oil and gas extraction",1990,83078,50293.307406037,388.805227647136,49904.5021783899,32785.7883711735,373.795051134827,53.9745353323667,99.9641704357681,7.22217891620062,102.182407168263,115.207536287609,134.271067325262,83079.0957772105,40.76652609135,34.3789275025982,46.1774980890551,74.4495239570951,0.0537880502484233,0.761015825700809,0.858022048849343,88.4315992966403,100.621542636763,89.8207190716423,95.3632712030119
"United States","21","Mining, oil and gas extraction",1991,74204,41187.7114313033,285.918562243961,40901.7928690593,33013.8905176765,359.687914958643,56.3739846140633,98.4844874338168,7.1755772560172,100.663862325178,110.633420289757,129.105550211811,74201.6019489798,43.6854842303133,37.3439001268113,48.9549663967829,76.2821484221576,0.0555791539886932,0.77970205122885,0.856922263281879,89.6881785448838,100.635606546644,91.0844450202149,95.3119411847629
"United States","21","Mining, oil and gas extraction",1992,68514,36531.0387371514,254.040662166693,36276.9980749847,31975.463028762,333.278100053237,53.9310080610435,97.5936246839807,7.53384369710815,99.7129033019864,100.599464074707,119.258303480573,68506.5017659134,43.8597567083249,38.6754846140676,47.2610039467036,81.8338193951236,0.0631724875940013,0.836108685029461,0.843542639285439,93.183193771373,100.68434286644,94.5880403588026,94.630678613125
"United States","21","Mining, oil and gas extraction",1993,69736,38197.656760044,317.244410945723,37880.4123490983,31532.7445606711,320.115030349753,57.7351017179139,96.3073005558836,8.27880347856293,98.3095328080165,98.7285331167515,114.452719943374,69730.4013207151,47.7010955171983,43.1419399889917,51.2703849746959,84.1459255870306,0.0723338290488766,0.858953224149291,0.862614127174944,94.5971448189908,100.740656457577,95.9656123469716,95.6077920087344
"United States","21","Mining, oil and gas extraction",1994,71303,39800.9320288523,392.261518230723,39408.6705106216,31493.750778157,312.450688558936,64.3889142124458,96.3755657616604,10.2175308013102,98.1774277048486,97.6733188240467,111.678685322329,71294.6828070093,53.4337006130676,49.3090530199145,57.138655137667,86.2971886564565,0.0914904287404552,0.879106227132665,0.8745923050772,95.9270632951183,100.859678157138,97.1930029783865,96.1989340941655
